Métrica,Valor
Número de Salas,6.0
Capacidad Mínima,11.0
Primer Cuartil (Q1),22.75
Mediana,27.5
Tercer Cuartil (Q3),33.75
Capacidad Máxima,40.0
Rango Intercuartílico,11.0
