Platform,Scenario,CPU_Avg (%),CPU_Max (%),CPU_StdDev,Mem_Private_Avg (MB),Mem_Private_Max (MB),Mem_WorkingSet_Avg (MB),Mem_WorkingSet_Max (MB),Duration (sec)
JADE,Small,33.69715375510529,76.67939774185746,38.80231773987219,383.4755859375,391.015625,168.361328125,238.859375,14.995
JADE,Medium,94.62888048965449,265.7141077874143,148.23896431346202,387.939453125,402.703125,175.1640625,253.94921875,20.006
JADE,Full,124.9677177420483,354.2395600466117,198.76291579650638,420.7646484375,457.31640625,213.4951171875,316.87890625,20.002
SPADE,Small,13.173518331485225,26.34703666297045,18.63016828855699,70.19661458333333,82.3046875,83.27473958333333,96.51171875,14.999
SPADE,Medium,22.75703162213869,52.77078258553484,20.525397173982515,111.35677083333333,136.12890625,124.86588541666667,150.0625,24.999
SPADE,Full,33.978299108218,77.15269260036878,23.91997468464475,154.77126736111111,229.0859375,167.52994791666666,241.875,39.989
