Platform,Scenario,CPU_Avg (%),CPU_Max (%),CPU_StdDev,CPU_Avg_Normalized (%),CPU_Max_Normalized (%),Mem_Private_Avg (MB),Mem_Private_Max (MB),Mem_WorkingSet_Avg (MB),Mem_WorkingSet_Max (MB),Duration (sec)
JADE,Small,47.33741352378032,165.4398801626751,72.73975189525713,2.95858834523627,10.339992510167194,400.74112215909093,439.61328125,233.8771306818182,293.66796875,15.005
JADE,Medium,139.81541470084025,588.3450077718022,219.24925950718503,8.738463418802516,36.77156298573764,448.5081129807692,491.32421875,291.19771634615387,333.03125,17.006
JADE,Full,242.33292475528356,665.117781180072,271.54568763558586,15.145807797205222,41.5698613237545,644.1159855769231,765.01171875,494.50210336538464,624.515625,19.006
SPADE,Small,14.183668590564736,38.75114264202604,15.594054802462963,0.886479286910296,2.4219464151266274,75.64311079545455,82.98828125,89.59410511363636,97.4609375,16.995
SPADE,Medium,25.251530133839957,83.003823813891,24.57582992752128,1.5782206333649973,5.187738988368188,112.2743389423077,138.02734375,125.68599759615384,151.34375,26.0
SPADE,Full,43.34251772256083,104.93794489929665,30.033600834890994,2.7089073576600518,6.558621556206041,154.76795014880952,230.08984375,167.86346726190476,243.078125,45.017
